Department_Code,Course_Number,Course_Name,Course_Description,Course_Credits,Course_Prerequisits
ANTH,300,Introduction to Language,See Department of Languages| Linguistics Courses| Linguistics 0300| for full course description.,1,Linguistics 0300
ANTH,1032,Introduction to Biological Anthropology and Archaeology,A general introduction to biological anthropology and archaeology. The course covers topics ranging from the biological origin of humans| the appearance of human culture| and the rise of civilization.,0.5,none
ANTH,1034,World Cultures,Cultural anthropology picks up the story of humankind where biological anthropology leaves off| at a point in the remote past when our ancestors developed the capacity for culture| which allows people to behave in ways that are learned rather than biologically inherited. Students will learn about the fascinating array of customs and traditions that constitute human culture.,0.5,none
ANTH,2110,Biology of Human Variation,This course focuses on human microevolution. Topics include evolutionary theory| the genetic background of human variation| human adaptability and the role of disease in human evolution.,0.5,Anthropology 1032 or permission of the instructor and Chair of the Department
ANTH,2112,Human Evolution,The field of paleoanthropology is examined in this course. Students are introduced to comparative primate biology| including behaviour| as a background to examining the fossil evidence for human evolution.,0.5,Anthropology 2110 or permission of the instructor
ANTH,2116,Gender in Cross-Cultural Perspective,After a brief introduction to the anthropological approach| different cultural interpretations of gender roles and abilities are discussed. Homosexuality will be examined cross-culturally. How some human societies organize sexual differences by assigning work roles and other activities is also reviewed. Societies at various technological levels will be used as examples. This includes forager| horticultural| pastoral| agricultural| and industrial societies| specifically in Scandinavia| Japan| Russia and Canada.,0.5,Women's Studies 2116
ANTH,2118,Tracing Human Migrations,Reviews migrations of Homo sapiens around the world using linguistic| archaeological| biological and genetic evidence. The linguistic evidence addresses current languages spoken around the world while the archaeological evidence uses the excavated biological remains and associated artifacts. The genetic evidence includes mitochondrial DNA and Y chromosomal DNA as it applies to population migrations and movements.,0.5,Anthropology 1032
ANTH,2137,Fundamentals of Archaeology,An introduction to modern archaeological methods. Topics include: chronometric dating| archaeological survey and excavation techniques| artifact analysis| environmental archaeology (archaeobotany| geoarchaeology and zooarchaeology)| ethnoarchaeology| social archaeology| cognitive archaeology| and the archaeology of ethnicity.,0.5,Anthropology 1032 or permission of the instructor
ANTH,2151,Ancient Peoples and Places,An overview of Old and New World archaeology| with particular emphasis on the development of humans and culture from hunting/gathering to agricultural and ancient urban societies in Mesoamerica| Europe| Egypt| Mesopotamia| the Indus Valley| and China.,0.5,none
ANTH,2173,The Archaeology of North America,An examination of the transformation and adaptation of ancient Aboriginal cultures of Canada and the USA using archaeological recoveries to aid interpretation.,0.5,Anthropology 1032 and 1034 or permission of the instructor
